,google,microsoft,clarifai,path
0,2,0.106128894,0.07544159,swim1_front_plus.jpg
1,2,0.059482615,0.099593446,swim2_front_plus.jpg
2,2,0.12252152699999999,0.40844288,swim3_front_plus.jpg
3,2,0.08264851599999999,0.026526967000000002,swim4_front_plus.jpg
4,2,0.19271960000000002,0.06944376,swim5_front_plus.jpg
5,2,0.269171536,0.021255938,swim6_front_plus.jpg
6,2,0.201886609,0.086636245,swim7_front_plus.jpg
7,2,0.07724546,0.031016644,swim8_front_plus.jpg
8,2,0.12811282300000001,0.33595052,swim9_front_plus.jpg
9,2,0.073251754,0.018902178999999998,swim10_front_plus.jpg
10,2,0.07414623,0.021089133,swim11_front_plus.jpg
11,2,0.03722857,0.06720409,swim12_front_plus.jpg
12,2,0.101799339,0.009113148,swim13_front_plus.jpg
13,2,0.092254244,0.06996267,swim14_front_plus.jpg
14,1,0.016473256000000002,0.04825558,swim15_front_plus.jpg
15,2,0.064475104,0.307159,swim16_front_plus.jpg
16,2,0.1213372,0.2989506,swim17_front_plus.jpg
17,2,0.19094952899999998,0.005326104,swim18_front_plus.jpg
18,2,0.07558858,0.38631659999999995,swim19_front_plus.jpg
19,2,0.061027482,0.31746820000000003,swim20_front_plus.jpg
20,2,0.07406831,0.006604256,swim21_front_plus.jpg
21,2,0.235028312,0.011803291,swim22_front_plus.jpg
22,1,0.08254873,0.0018188570000000001,swim23_front_plus.jpg
23,1,0.12926507,0.006328067,swim24_front_plus.jpg
24,2,0.010697255,0.025225649,swim25_front_plus.jpg
25,2,0.09586732,0.011162278999999999,swim26_front_plus.jpg
26,2,0.299606353,0.079652414,swim27_front_plus.jpg
27,1,0.022934001000000002,0.46285468,swim28_front_plus.jpg
28,1,0.02144861,0.20880549,swim29_front_plus.jpg
29,1,0.11686501699999999,0.43972173,swim30_front_plus.jpg
30,2,0.071288705,0.08795247,swim31_front_plus.jpg
31,2,0.157848909,0.21544322,swim32_front_plus.jpg
