,Unnamed: 0,screen_name,bot1,bot2,bot3,bot4,bot5,bot6,scores,exp1,yhat
0,6225,acuragirl0827,1,0,0,0,0,0,0.41,1,1
1,12140,rsdos630,1,0,0,0,0,0,0.37,1,1
2,8788,cannoneerno4,1,0,0,0,0,0,0.38,1,1
3,5249,FffMachiavelli,1,0,0,0,0,0,0.33,1,1
4,5447,46laurie,1,0,0,0,0,0,0.26,1,1
5,2462,Dave3333335489,1,0,0,0,0,0,0.34,1,1
6,245,ErebusFIN,1,0,0,0,0,0,0.42,1,1
7,10044,Thor4306,1,0,0,0,0,0,0.43,1,1
8,5900,amargosa7,1,0,0,0,0,0,0.35,1,1
9,11654,SullivanMccarty,1,0,0,0,0,0,0.35,1,1
10,4593,2053pam,1,0,0,0,0,0,0.34,1,1
11,1931,sfdons1974,1,0,0,0,0,0,0.37,1,1
12,914,rossrmarshall,1,0,0,0,0,0,0.29,1,1
13,725,KhanAsparuh,1,0,0,0,0,0,0.31,1,1
14,6987,Annagre69728429,1,0,0,0,0,0,0.4,1,1
15,6719,AndyTho10107697,1,0,0,0,0,0,0.49,1,1
16,7143,MT_Detour,1,0,0,0,0,0,0.34,1,1
17,3459,TrumpPentce,1,0,0,0,0,0,0.35,1,1
18,9731,stellamaris9a,1,0,0,0,0,0,0.35,1,1
19,3803,canada_truth,1,0,0,0,0,0,0.32,1,1
20,6661,Conniewaggoner7,1,0,0,0,0,0,0.33,1,1
21,10269,KarenBarbosa61,1,0,0,0,0,0,0.41,1,1
22,7981,NapalMom,1,0,0,0,0,0,0.3,1,1
23,1064,frazzledjazz,1,0,0,0,0,0,0.26,1,1
24,3812,Trumpist2,1,0,0,0,0,0,0.28,1,1
25,5699,casi_sue,1,0,0,0,0,0,0.36,1,1
26,9200,RantsnGiggles,1,0,0,0,0,0,0.28,1,1
27,3034,NBLmusicSalerno,1,0,0,0,0,0,0.45,1,1
28,5672,LizRao4,1,0,0,0,0,0,0.36,1,1
29,6510,KeithBarrett,1,0,0,0,0,0,0.44,1,1
30,10151,emeralds3,1,0,0,0,0,0,0.38,1,1
31,7684,MCEEEEEEEEE,1,0,0,0,0,0,0.38,1,1
32,9063,PMPicoulas,1,0,0,0,0,0,0.35,1,1
33,5287,LadyDeeDoodles,1,0,0,0,0,0,0.42,1,1
34,1890,DeDeWMusic,1,0,0,0,0,0,0.45,1,1
35,2610,Della1946,1,0,0,0,0,0,0.41,1,1
36,6449,BrendaK8881,1,0,0,0,0,0,0.33,1,1
37,11947,jjpearson64,1,0,0,0,0,0,0.45,1,1
38,12588,PoliticsQuan,1,0,0,0,0,0,0.27,1,1
39,11661,mskaro_2000,1,0,0,0,0,0,0.43,1,1
40,2790,moms4_trump,1,0,0,0,0,0,0.37,1,1
41,6972,DadtotheStars,1,0,0,0,0,0,0.39,1,1
42,5046,BryanP18,1,0,0,0,0,0,0.37,1,1
43,7281,neojosemo,1,0,0,0,0,0,0.45,1,1
44,3951,dwford611,1,0,0,0,0,0,0.26,1,1
45,3163,mllemaster_ml,1,0,0,0,0,0,0.45,1,1
46,2544,bevfoster33,1,0,0,0,0,0,0.34,1,1
47,3980,PenlandDeborah,1,0,0,0,0,0,0.37,1,1
48,525,sarahwlsh508,1,0,0,0,0,0,0.26,1,1
49,3431,xXrebel1Xx,1,0,0,0,0,0,0.36,1,1
50,4798,guildwyn,1,0,0,0,0,0,0.32,1,1
51,8888,lorie_tuttle,1,0,0,0,0,0,0.37,1,1
52,3850,freeandfunny14,1,0,0,0,0,0,0.45,1,1
53,5292,_sammysmom,1,0,0,0,0,0,-2.0,1,1
54,8071,ThorpeLynden,1,0,0,0,0,0,0.38,1,1
55,3877,dollytrollpe,1,0,0,0,0,0,0.46,1,1
56,1140,BeverlyChapman4,1,0,0,0,0,0,0.35,1,1
57,4244,Censoredblues,1,0,0,0,0,0,0.38,1,1
58,3621,trumpemall,1,0,0,0,0,0,0.32,1,1
59,7795,DFLIVII,1,0,0,0,0,0,0.24,1,1
60,7661,PatriotLexi,1,0,0,0,0,0,0.47,1,1
61,520,Chatman7Donna,1,0,0,0,0,0,0.38,1,1
62,7984,corncobjed,1,0,0,0,0,0,0.3,1,1
63,8179,dragonlady9947,1,0,0,0,0,0,0.38,1,1
